🎒	school_satchel	student, education, bag, backpack
👝	pouch	bag, accessories, shopping
👛	purse	fashion, accessories, money, sales, shopping
👜	handbag	fashion, accessory, accessories, shopping
💼	briefcase	business, documents, work, law, legal, job, career
👓	eyeglasses	fashion, accessories, eyesight, nerdy, dork, geek
🕶	dark_sunglasses	face, cool, accessories
💍	ring	wedding, propose, marriage, valentines, diamond, fashion, jewelry, gem, engagement
🌂	closed_umbrella	weather, rain, drizzle
🐶	dog	animal, friend, nature, woof, puppy, pet, faithful
🐱	cat	animal, meow, nature, pet, kitten
🐭	mouse	animal, nature, cheese_wedge, rodent
🐹	hamster	animal, nature
🐰	rabbit	animal, nature, pet, spring, magic, bunny
🐻	bear	animal, nature, wild
🐼	panda_face	animal, nature, panda
🐨	koala	animal, nature
🐯	tiger	animal, cat, danger, wild, nature, roar
🐮	cow	beef, ox, animal, nature, moo, milk
🐷	pig	animal, oink, nature
🐽	pig_nose	animal, oink
🐸	frog	animal, nature, croak, toad
🐙	octopus	animal, creature, ocean, sea, nature, beach
🐵	monkey_face	animal, nature, circus
🙈	see_no_evil	monkey, animal, nature, haha
🙉	hear_no_evil	animal, monkey, nature
🙊	speak_no_evil	monkey, animal, nature, omg
🐒	monkey	animal, nature, banana, circus
🐔	chicken	animal, cluck, nature, bird
🐧	penguin	animal, nature
🐦	bird	animal, nature, fly, tweet, spring
🐤	baby_chick	animal, chicken, bird
🐣	hatching_chick	animal, chicken, egg, born, baby, bird
🐥	hatched_chick	animal, chicken, baby, bird
🐺	wolf	animal, nature, wild
🐗	boar	animal, nature
🐴	horse	animal, brown, nature
🐝	honeybee	animal, insect, nature, bug, spring, honey
🐛	bug	animal, insect, nature, worm
🐌	snail	slow, animal, shell
🐞	beetle	animal, insect, nature, ladybug
🐜	ant	animal, insect, nature, bug
🕷	spider	animal, arachnid
🐍	snake	animal, evil, nature, hiss, python
🐢	turtle	animal, slow, nature, tortoise
🐠	tropical_fish	animal, swim, ocean, beach, nemo
🐟	fish	animal, food, nature
🐡	blowfish	animal, nature, food, sea, ocean
🐬	dolphin	animal, nature, fish, sea, ocean, flipper, fins, beach
🐳	whale	animal, nature, sea, ocean
🐋	whale2	animal, nature, sea, ocean
🐊	crocodile	animal, nature, reptile, lizard, alligator
🐆	leopard	animal, nature
🐅	tiger2	animal, nature, roar
🐃	water_buffalo	animal, nature, ox, cow
🐂	ox	animal, cow, beef
🐄	cow2	beef, ox, animal, nature, moo, milk
🐫	camel	animal, nature, hot, desert, hump
🐘	elephant	animal, nature, nose, th, circus
🐐	goat	animal, nature
🐏	ram	animal, sheep, nature
🐑	sheep	animal, nature, wool, shipit
🐎	racehorse	animal, gamble, luck
🐖	pig2	animal, nature
🐀	rat	animal, mouse, rodent
🐁	mouse2	animal, nature, rodent
🐓	rooster	animal, nature, chicken
🕊	dove	animal, bird
🐕	dog2	animal, nature, friend, doge, pet, faithful
🐩	poodle	dog, animal, 101, nature, pet
🐈	cat2	animal, meow, pet, cats
🐇	rabbit2	animal, nature, pet, magic, spring
🐿	chipmunk	animal, nature, rodent, squirrel
🐾	paw_prints	animal, tracking, footprints, dog, cat, pet, feet
🐉	dragon	animal, myth, nature, chinese, green
🐲	dragon_face	animal, myth, nature, chinese, green
🌵	cactus	vegetable, plant, nature
🎄	christmas_tree	festival, vacation, december, xmas, celebration
🌲	evergreen_tree	plant, nature
🌳	deciduous_tree	plant, nature
🌴	palm_tree	plant, vegetable, nature, summer, beach, mojito, tropical
🌱	seedling	plant, nature, grass, lawn, spring
🌿	herb	vegetable, plant, medicine, weed, grass, lawn
☘	shamrock	vegetable, plant, nature, irish, clover
🍀	four_leaf_clover	vegetable, plant, nature, lucky, irish
🎍	bamboo	plant, nature, vegetable, panda, pine_decoration
🎋	tanabata_tree	plant, nature, branch, summer
🍃	leaves	nature, plant, tree, vegetable, grass, lawn, spring
🍂	fallen_leaf	nature, plant, vegetable, leaves
🍁	maple_leaf	nature, plant, vegetable, ca, fall
🌾	ear_of_rice	nature, plant
🌺	hibiscus	plant, vegetable, flowers, beach
🌻	sunflower	nature, plant, fall
🌹	rose	flowers, valentines, love, spring
🌷	tulip	flowers, plant, nature, summer, spring
🌼	blossom	nature, flowers, yellow
🌸	cherry_blossom	nature, plant, spring, flower
💐	bouquet	flowers, nature, spring
🍄	mushroom	plant, vegetable
🌰	chestnut	food, squirrel
🎃	jack_o_lantern	halloween, light, pumpkin, creepy, fall
🐚	shell	nature, sea, beach
🕸	spider_web	animal, insect, arachnid, silk
🌎	earth_americas	globe, world, USA, international
🌍	earth_africa	globe, world, international
🌏	earth_asia	globe, world, east, international
🌕	full_moon	nature, yellow, twilight, planet, space, night, evening, sleep
🌖	waning_gibbous_moon	nature, twilight, planet, space, night, evening, sleep, waxing_gibbous_moon
🌗	last_quarter_moon	nature, twilight, planet, space, night, evening, sleep
🌘	waning_crescent_moon	nature, twilight, planet, space, night, evening, sleep
🌑	new_moon	nature, twilight, planet, space, night, evening, sleep
🌒	waxing_crescent_moon	nature, twilight, planet, space, night, evening, sleep
🌓	first_quarter_moon	nature, twilight, planet, space, night, evening, sleep
🌔	waxing_gibbous_moon	nature, night, sky, gray, twilight, planet, space, evening, sleep
🌚	new_moon_with_face	nature, twilight, planet, space, night, evening, sleep
🌝	full_moon_with_face	nature, twilight, planet, space, night, evening, sleep
🌛	first_quarter_moon_with_face	nature, twilight, planet, space, night, evening, sleep
🌜	last_quarter_moon_with_face	nature, twilight, planet, space, night, evening, sleep
🌞	sun_with_face	nature, morning, sky
🌙	crescent_moon	night, sleep, sky, evening, magic
⭐	star	night, yellow
🌟	star2	night, sparkle, awesome, good, magic
💫	dizzy	star, sparkle, shoot, magic
✨	sparkles	stars, shine, shiny, cool, awesome, good, magic
☄	comet	space
☀️	sunny	weather, nature, brightness, summer, beach, spring
🌤	sun_behind_small_cloud	weather
⛅	partly_sunny	weather, nature, cloudy, morning, fall, spring
🌥	sun_behind_large_cloud	weather
🌦	sun_behind_rain_cloud	weather
☁️	cloud	weather, sky
🌧	cloud_with_rain	weather
⛈	cloud_with_lightning_and_rain	weather, lightning
🌩	cloud_with_lightning	weather, thunder
⚡	zap	thunder, weather, lightning bolt, fast
🔥	fire	hot, cook, flame
💥	boom	bomb, explode, explosion, collision, blown
❄️	snowflake	winter, season, cold, weather, christmas, xmas
🌨	cloud_with_snow	weather
⛄	snowman	winter, season, cold, weather, christmas, xmas, frozen, without_snow
☃	snowman_with_snow	winter, season, cold, weather, christmas, xmas, frozen
🌬	wind_face	gust, air
💨	dash	wind, air, fast, shoo, fart, smoke, puff
🌪	tornado	weather, cyclone, twister
🌫	fog	weather
☂	open_umbrella	weather, spring
☔	umbrella	rainy, weather, spring
💧	droplet	water, drip, faucet, spring
💦	sweat_drops	water, drip, oops
🌊	ocean	sea, water, wave, nature, tsunami, disaster
🍏	green_apple	fruit, nature
🍎	apple	fruit, mac, school
🍐	pear	fruit, nature, food
🍊	tangerine	food, fruit, nature, orange
🍋	lemon	fruit, nature
🍌	banana	fruit, food, monkey
🍉	watermelon	fruit, food, picnic, summer
🍇	grapes	fruit, food, wine
🍓	strawberry	fruit, food, nature
🍈	melon	fruit, nature, food
🍒	cherries	food, fruit
🍑	peach	fruit, nature, food
🍍	pineapple	fruit, nature, food
🍅	tomato	fruit, vegetable, nature, food
🍆	eggplant	vegetable, nature, food, aubergine
🌶	hot_pepper	food, spicy, chilli, chili
🌽	corn	food, vegetable, plant
🍠	sweet_potato	food, nature
🍯	honey_pot	bees, sweet, kitchen
🍞	bread	food, wheat, breakfast, toast
🍗	poultry_leg	food, meat, drumstick, bird, chicken, turkey
🍖	meat_on_bone	good, food, drumstick
🍤	fried_shrimp	food, animal, appetizer, summer
🍳	fried_egg	food, breakfast, kitchen, egg
🍔	hamburger	meat, fast food, beef, cheeseburger, mcdonalds, burger king
🍟	fries	chips, snack, fast food
🍕	pizza	food, party
🍝	spaghetti	food, italian, noodle
🍜	ramen	food, japanese, noodle, chopsticks
🍲	stew	food, meat, soup
🍥	fish_cake	food, japan, sea, beach, narutomaki, pink, swirl, kamaboko, surimi, ramen
🍣	sushi	food, fish, japanese, rice
🍱	bento	food, japanese, box
🍛	curry	food, spicy, hot, indian
🍙	rice_ball	food, japanese
🍚	rice	food, china, asian
🍘	rice_cracker	food, japanese
🍢	oden	food, japanese
🍡	dango	food, dessert, sweet, japanese, barbecue, meat
🍧	shaved_ice	hot, dessert, summer
🍨	ice_cream	food, hot, dessert
🍦	icecream	food, hot, dessert, summer
🍰	cake	food, dessert
🎂	birthday	food, dessert, cake
🍮	custard	dessert, food
🍬	candy	snack, dessert, sweet, lolly
🍭	lollipop	food, snack, candy, sweet
🍫	chocolate_bar	food, snack, dessert, sweet
🍩	doughnut	food, dessert, snack, sweet, donut
🍪	cookie	food, snack, oreo, chocolate, sweet, dessert
🍺	beer	relax, beverage, drink, drunk, party, pub, summer, alcohol, booze
🍻	beers	relax, beverage, drink, drunk, party, pub, summer, alcohol, booze
🍷	wine_glass	drink, beverage, drunk, alcohol, booze
🍸	cocktail	drink, drunk, alcohol, beverage, booze, mojito
🍹	tropical_drink	beverage, cocktail, summer, beach, alcohol, booze, mojito
🍶	sake	wine, drink, drunk, beverage, japanese, alcohol, booze
🍵	tea	drink, bowl, breakfast, green, british
☕	coffee	beverage, caffeine, latte, espresso
🍼	baby_bottle	food, container, milk
🍴	fork_and_knife	cutlery, kitchen
🍽	plate_with_cutlery	food, eat, meal, lunch, dinner, restaurant
⚽	soccer	sports, football
🏀	basketball	sports, balls, NBA
🏈	football	sports, balls, NFL
⚾	baseball	sports, balls
🎾	tennis	sports, balls, green
🏉	rugby_football	sports, team
🎱	8ball	pool, hobby, game, luck, magic
⛳	golf	sports, business, flag, hole, summer
🏌	golfing_man	sports, business
🎿	ski	sports, winter, cold, snow
⛷	skier	sports, winter, snow
🏂	snowboarder	sports, winter
⛸	ice_skate	sports
🎣	fishing_pole_and_fish	food, hobby, summer
🚣	rowing_man	sports, hobby, water, ship
🏊	swimming_man	sports, exercise, human, athlete, water, summer
🏄	surfing_man	sports, ocean, sea, summer, beach
🛀	bath	clean, shower, bathroom
⛹	basketball_man	sports, human
🏋	weight_lifting_man	sports, training, exercise
🚴	biking_man	sports, bike, exercise, hipster
🚵	mountain_biking_man	transportation, sports, human, race, bike
🏇	horse_racing	animal, betting, competition, gambling, luck
🕴	business_suit_levitating	suit, business, levitate, hover, jump
🏆	trophy	win, award, contest, place, ftw, ceremony
🎽	running_shirt_with_sash	play, pageant
🎖	medal_military	award, winning, army
🎗	reminder_ribbon	sports, cause, support, awareness
🏵	rosette	flower, decoration, military
🎫	ticket	event, concert, pass
🎟	tickets	sports, concert, entrance
🎭	performing_arts	acting, theater, drama
🎨	art	design, paint, draw, colors
🎪	circus_tent	festival, carnival, party
🎤	microphone	sound, music, PA, sing, talkshow
🎧	headphones	music, score, gadgets
🎼	musical_score	treble, clef, compose
🎷	saxophone	music, instrument, jazz, blues
🎺	trumpet	music, brass
🎸	guitar	music, instrument
🎻	violin	music, instrument, orchestra, symphony
🎬	clapper	movie, film, record
🎮	video_game	play, console, PS4, controller
👾	space_invader	game, arcade, play
🎯	dart	game, play, bar, target, bullseye
🎲	game_die	dice, random, tabletop, play, luck
♟	chess_pawn	expendable
🎰	slot_machine	bet, gamble, vegas, fruit machine, luck, casino
🎳	bowling	sports, fun, play
🚗	red_car	red, transportation, vehicle
🚕	taxi	uber, vehicle, cars, transportation
🚙	blue_car	transportation, vehicle
🚌	bus	car, vehicle, transportation
🚎	trolleybus	bart, transportation, vehicle
🏎	racing_car	sports, race, fast, formula, f1
🚓	police_car	vehicle, cars, transportation, law, legal, enforcement
🚑	ambulance	health, 911, hospital
🚒	fire_engine	transportation, cars, vehicle
🚐	minibus	vehicle, car, transportation
🚚	truck	cars, transportation
🚛	articulated_lorry	vehicle, cars, transportation, express
🚜	tractor	vehicle, car, farming, agriculture
🏍	motorcycle	race, sports, fast
🚲	bike	sports, bicycle, exercise, hipster
🚨	rotating_light	police, ambulance, 911, emergency, alert, error, pinged, law, legal
🚔	oncoming_police_car	vehicle, law, legal, enforcement, 911
🚍	oncoming_bus	vehicle, transportation
🚘	oncoming_automobile	car, vehicle, transportation
🚖	oncoming_taxi	vehicle, cars, uber
🚡	aerial_tramway	transportation, vehicle, ski
🚠	mountain_cableway	transportation, vehicle, ski
🚟	suspension_railway	vehicle, transportation
🚃	railway_car	transportation, vehicle
🚋	train	transportation, vehicle, carriage, public, travel
🚝	monorail	transportation, vehicle
🚄	bullettrain_side	transportation, vehicle
🚅	bullettrain_front	transportation, vehicle, speed, fast, public, travel
🚈	light_rail	transportation, vehicle
🚞	mountain_railway	transportation, vehicle
🚂	steam_locomotive	transportation, vehicle, train
🚆	train2	transportation, vehicle
🚇	metro	transportation, blue-square, mrt, underground, tube
🚊	tram	transportation, vehicle
🚉	station	transportation, vehicle, public
🚁	helicopter	transportation, vehicle, fly
🛩	small_airplane	flight, transportation, fly, vehicle
✈️	airplane	vehicle, transportation, flight, fly
⛵	sailboat	ship, summer, transportation, water, sailing
🛥	motor_boat	ship
🚤	speedboat	ship, transportation, vehicle, summer
⛴	ferry	boat, ship, yacht
🛳	passenger_ship	yacht, cruise, ferry
🚀	rocket	launch, ship, staffmode, NASA, outer space, outer_space, fly
🛰	artificial_satellite	communication, gps, orbit, spaceflight, NASA, ISS
💺	seat	sit, airplane, transport, bus, flight, fly
⚓	anchor	ship, ferry, sea, boat
🚧	construction	wip, progress, caution, warning
⛽	fuelpump	gas station, petroleum
🚏	busstop	transportation, wait
🚦	vertical_traffic_light	transportation, driving
🚥	traffic_light	transportation, signal
🏁	checkered_flag	contest, finishline, race, gokart
🚢	ship	transportation, titanic, deploy
🎡	ferris_wheel	photo, carnival, londoneye
🎢	roller_coaster	carnival, playground, photo, fun
🎠	carousel_horse	photo, carnival
🏗	building_construction	wip, working, progress
🌁	foggy	photo, mountain
🗼	tokyo_tower	photo, japanese
🏭	factory	building, industry, pollution, smoke
⛲	fountain	photo, summer, water, fresh
🎑	rice_scene	photo, japan, asia, tsukimi
⛰	mountain	photo, nature, environment
🏔	mountain_snow	photo, nature, environment, winter, cold
🗻	mount_fuji	photo, mountain, nature, japanese
🌋	volcano	photo, nature, disaster
🗾	japan	nation, country, japanese, asia
🏕	camping	photo, outdoors, tent
⛺	tent	photo, camping, outdoors
🏞	national_park	photo, environment, nature
🛣	motorway	road, cupertino, interstate, highway
🛤	railway_track	train, transportation
🌅	sunrise	morning, view, vacation, photo
🌄	sunrise_over_mountains	view, vacation, photo
🏜	desert	photo, warm, saharah
🏖	beach_umbrella	weather, summer, sunny, sand, mojito
🏝	desert_island	photo, tropical, mojito
🌇	city_sunrise	photo, good morning, dawn
🌆	city_sunset	photo, evening, sky, buildings
🏙	cityscape	photo, night life, urban
🌃	night_with_stars	evening, city, downtown
🌉	bridge_at_night	photo, sanfrancisco
🌌	milky_way	photo, space, stars
🌠	stars	night, photo
🎇	sparkler	stars, night, shine
🎆	fireworks	photo, festival, carnival, congratulations
🌈	rainbow	nature, happy, unicorn_face, photo, sky, spring
🏘	houses	buildings, photo
🏰	european_castle	building, royalty, history
🏯	japanese_castle	photo, building
🏟	stadium	photo, place, sports, concert, venue
🗽	statue_of_liberty	american, newyork
🏠	house	building, home
🏡	house_with_garden	home, plant, nature
🏚	derelict_house	abandon, evict, broken, building
🏢	office	building, bureau, work
🏬	department_store	building, shopping, mall
🏣	post_office	building, envelope, communication
🏤	european_post_office	building, email
🏥	hospital	building, health, surgery, doctor
🏦	bank	building, money, sales, cash, business, enterprise
🏨	hotel	building, accomodation, checkin
🏪	convenience_store	building, shopping, groceries
🏫	school	building, student, education, learn, teach
🏩	love_hotel	like, affection, dating
💒	wedding	love, like, affection, couple, marriage, bride, groom
🏛	classical_building	art, culture, history
⛪	church	building, religion, christ
⛩	shinto_shrine	temple, japan, kyoto
⌚	watch	time, accessories
📱	iphone	technology, apple, gadgets, dial
📲	calling	iphone, incoming
💻	computer	technology, laptop, screen, display, monitor
⌨	keyboard	technology, computer, type, input, text
🖥	desktop_computer	technology, computing, screen
🖨	printer	paper, ink
🖱	computer_mouse	click
🖲	trackball	technology, trackpad
🕹	joystick	game, play
🗜	clamp	tool
💽	minidisc	technology, record, data, disk, 90s
💾	floppy_disk	oldschool, technology, save, 90s, 80s
💿	cd	technology, dvd, disk, disc, 90s
📀	dvd	cd, disk, disc
📼	vhs	record, video, oldschool, 90s, 80s
📷	camera	gadgets, photography
📹	video_camera	film, record
🎥	movie_camera	film, record
📽	film_projector	video, tape, record, movie
🎞	film_strip	movie
📞	telephone_receiver	technology, communication, dial
☎️	phone	technology, communication, dial, telephone
📟	pager	bbcall, oldschool, 90s
📠	fax	communication, technology
📺	tv	technology, program, oldschool, show, television
📻	radio	communication, music, podcast, program
🎙	studio_microphone	sing, recording, artist, talkshow
🎚	level_slider	scale
🎛	control_knobs	dial
🧭	compass	magnetic, navigation, orienteering
⏱	stopwatch	time, deadline
⏲	timer_clock	alarm
⏰	alarm_clock	time, wake
🕰	mantelpiece_clock	time
⏳	hourglass_flowing_sand	oldschool, time, countdown
⌛	hourglass	time, clock, oldschool, limit, exam, quiz, test
📡	satellite	communication, future, radio, space
🔋	battery	power, energy, sustain
🔌	electric_plug	charger, power
💡	bulb	light, electricity, idea
🔦	flashlight	dark, camping, sight, night
🕯	candle	fire, wax
🗑	wastebasket	bin, trash, rubbish, garbage, toss
🛢	oil_drum	barrell
💸	money_with_wings	dollar, bills, payment, sale
💵	dollar	money, sales, bill, currency
💴	yen	money, sales, japanese, dollar, currency
💶	euro	money, sales, dollar, currency
💷	pound	british, sterling, money, sales, bills, uk, england, currency
💰	moneybag	dollar, payment, coins, sale
💳	credit_card	money, sales, dollar, bill, payment, shopping
💎	gem	blue, ruby, diamond, jewelry
⚖	balance_scale	law, fairness, weight
🔧	wrench	tools, diy, ikea, fix, maintainer
🔨	hammer	tools, build, create
⚒	hammer_and_pick	tools, build, create
🛠	hammer_and_wrench	tools, build, create
⛏	pick	tools, dig
🔩	nut_and_bolt	handy, tools, fix
⚙	gear	cog
⛓	chains	lock, arrest
🔫	gun	violence, weapon, pistol, revolver
💣	bomb	boom, explode, explosion, terrorism
🔪	hocho	knife, blade, cutlery, kitchen, weapon
🗡	dagger	weapon
⚔	crossed_swords	weapon
🛡	shield	protection, security
🚬	smoking	kills, tobacco, cigarette, joint, smoke
☠	skull_and_crossbones	poison, danger, deadly, scary, death, pirate, evil
⚰	coffin	vampire, dead, die, death, rip, graveyard, cemetery, casket, funeral, box
⚱	funeral_urn	dead, die, death, rip, ashes
🔮	crystal_ball	disco, party, magic, circus, fortune_teller
💈	barber	hair, salon, style
⚗	alembic	distilling, science, experiment, chemistry
🔭	telescope	stars, space, zoom, science, astronomy
🔬	microscope	laboratory, experiment, zoomin, science, study
🕳	hole	embarrassing
💊	pill	health, medicine, doctor, pharmacy, drug
💉	syringe	health, hospital, drugs, blood, medicine, needle, doctor, nurse
🌡	thermometer	weather, temperature, hot, cold
🏷	label	sale, tag
🔖	bookmark	favorite, label, save
🚽	toilet	restroom, wc, washroom, bathroom, potty
🚿	shower	clean, water, bathroom
🛁	bathtub	clean, shower, bathroom
🔑	key	lock, door, password
🗝	old_key	lock, door, password
🛋	couch_and_lamp	read, chill
🛏	bed	sleep, rest
🚪	door	house, entry, exit
🛎	bellhop_bell	service
🖼	framed_picture	photography
🗺	world_map	location, direction
⛱	parasol_on_ground	weather, summer
🗿	moyai	rock, easter island, moai
🛍	shopping	mall, buy, purchase
🎈	balloon	party, celebration, birthday, circus
🎏	flags	fish, japanese, koinobori, carp, banner
🎀	ribbon	decoration, pink, girl, bowtie
🎁	gift	present, birthday, christmas, xmas
🎊	confetti_ball	festival, party, birthday, circus
🎉	tada	party, congratulations, birthday, magic, circus, celebration
